id1,name1,id2,name2,match,ranking,surface,previous,winner
sr:competitor:43748,Thiem Dominic,sr:competitor:71660,Marterer Maximilian,sr:match:17347631,0.394,0.431,0.0,0
sr:competitor:16822,Ramos-Vinolas Albert,sr:competitor:14404,Ferrer David,sr:match:17359997,0.462,0.529,0.857,0
sr:competitor:15789,Cuevas Pablo,sr:competitor:37785,Sousa Joao,sr:match:17359943,0.477,0.447,0.6,0
sr:competitor:126356,Munar Clar Jaume Antoni,sr:competitor:15434,Fognini Fabio,sr:match:17359627,0.543,0.477,1.0,0
sr:competitor:64570,Garin Christian,sr:competitor:44549,Cecchinato Marco,sr:match:17347745,0.516,0.531,1.0,1
sr:competitor:15565,Mayer Leonardo,sr:competitor:24418,Pella Guido,sr:match:17359563,0.545,0.554,0.667,1
sr:competitor:104847,Sonego Lorenzo,sr:competitor:51141,Carballes Baena Roberto,sr:match:17359175,0.481,0.498,1.0,1
sr:competitor:14404,Ferrer David,sr:competitor:15853,Jaziri Malek,sr:match:17320933,0.536,0.406,0.5,0
sr:competitor:47297,Londero Juan Ignacio,sr:competitor:37785,Sousa Joao,sr:match:17320929,0.501,0.452,0.5,1
sr:competitor:126356,Munar Clar Jaume Antoni,sr:competitor:35167,Delbonis Federico,sr:match:17320943,0.477,0.506,1.0,0
sr:competitor:47295,Andreozzi Guido,sr:competitor:38022,Bedene Aljaz,sr:match:17320931,0.521,0.531,1.0,1
sr:competitor:51836,Arevalo-Gonzalez Marcelo,sr:competitor:15789,Cuevas Pablo,sr:match:17327415,0.755,0.508,1.0,1
sr:competitor:39234,Lajovic Dusan,sr:competitor:15565,Mayer Leonardo,sr:match:17320939,0.465,0.491,0.5,1
sr:competitor:51141,Carballes Baena Roberto,sr:competitor:48632,Daniel Taro,sr:match:17320935,0.479,0.503,0.25,0
sr:competitor:64570,Garin Christian,sr:competitor:195800,Auger Aliassime Felix,sr:match:17320937,0.505,0.514,0.5,0
sr:competitor:38183,Bagnis Facundo,sr:competitor:71660,Marterer Maximilian,sr:match:17327413,0.534,0.504,0.5,1
sr:competitor:16822,Ramos-Vinolas Albert,sr:competitor:16087,Dutra Silva Rogerio,sr:match:17327417,0.377,0.522,0.0,0
sr:competitor:89632,Jarry Nicolas,sr:competitor:104847,Sonego Lorenzo,sr:match:17327419,0.504,0.483,0.5,1
sr:competitor:38183,Bagnis Facundo,sr:competitor:57289,Dellien Hugo,sr:match:17320855,0.548,0.527,0.333,0
sr:competitor:104847,Sonego Lorenzo,sr:competitor:16833,Giannessi Alessandro,sr:match:17320799,0.399,0.475,1.0,0
sr:competitor:95935,Norrie Cameron,sr:competitor:16087,Dutra Silva Rogerio,sr:match:17320459,0.334,0.557,0.5,1
sr:competitor:83661,Ymer Elias,sr:competitor:51836,Arevalo-Gonzalez Marcelo,sr:match:17320415,0.313,0.51,0.5,1
sr:competitor:47603,Monteiro Thiago Moura,sr:competitor:38183,Bagnis Facundo,sr:match:17317573,0.469,0.522,0.833,1
sr:competitor:104847,Sonego Lorenzo,sr:competitor:23664,Gaio Federico,sr:match:17317577,0.365,0.491,0.5,0
sr:competitor:16833,Giannessi Alessandro,sr:competitor:38517,Trungelliti Marco,sr:match:17317579,0.527,0.541,1.0,0
sr:competitor:51836,Arevalo-Gonzalez Marcelo,sr:competitor:14887,Berlocq Carlos,sr:match:17317583,0.627,0.494,0.5,0
sr:competitor:95935,Norrie Cameron,sr:competitor:24415,Martin Andrej,sr:match:17317569,0.379,0.532,0.5,0
sr:competitor:83661,Ymer Elias,sr:competitor:113979,Ficovich Juan Pablo,sr:match:17317581,0.157,0.499,0.5,0
